time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,temp_fuel
0.021938571928053,3.5173318077485e+20,1.3904803284137e+21,3.4728083789358e+21,2.425361103503e+21,1.581510428509e+21,4.4017164326096e+20,1027.8900396637
0.026327286313664,3.4803688866419e+20,1.3758804537628e+21,3.4363816244068e+21,2.3999231213654e+21,1.5649242064438e+21,4.3555369713154e+20,1027.9692252236
0.031593743576396,3.4383040834923e+20,1.3592646509911e+21,3.3949229134789e+21,2.3709707134296e+21,1.5460461725626e+21,4.3029764342703e+20,1028.0605701866
0.037913492291676,3.3908837380956e+20,1.3405323179916e+21,3.3481800206871e+21,2.3383274444868e+21,1.5247610400857e+21,4.2437130696911e+20,1028.1651313257
0.045497190750011,3.4263440048502e+20,1.3544885678567e+21,3.3828696830785e+21,2.3625028347801e+21,1.5404720981312e+21,4.2871909693635e+20,1028.2877147688
0.054597628900013,3.3770989148293e+20,1.3350280491688e+21,3.3342900277658e+21,2.3285737690751e+21,1.518346891515e+21,4.2256075115875e+20,1028.4260292812
0.065518154680015,3.316592152902e+20,1.3111176940031e+21,3.274601605622e+21,2.2868839042664e+21,1.4911572449733e+21,4.1498912913448e+20,1028.5797989942
0.078622785616018,3.2478948197393e+20,1.283969671759e+21,3.2068266391924e+21,2.2395459058495e+21,1.4602842529062e+21,4.0639250731574e+20,1028.7477995543
0.094348342739222,3.1710667712388e+20,1.2536069497184e+21,3.1310199045694e+21,2.1865980104729e+21,1.4257530772596e+21,3.967784236558e+20,1028.9270808467
0.11321901128707,3.0865506834247e+20,1.2202035229914e+21,3.0476122646192e+21,2.1283409683565e+21,1.3877599221028e+21,3.8620200543344e+20,1029.1119448474
0.13586381354448,2.9955858685237e+20,1.1842477912036e+21,2.9578180937287e+21,2.0656226248562e+21,1.3468576915765e+21,3.7481778469641e+20,1029.2923875815
0.16303757625338,2.9006543138927e+20,1.1467186432857e+21,2.8640743362501e+21,2.0001445017272e+21,1.3041558448433e+21,3.629353222889e+20,1029.4519626072
