time,group1_current,group2_current,group3_current,group4_current,group5_current,group6_current,heat,temp_blanket,temp_fuel
1.3491695722846,1.6099392390381e+21,6.3594700195888e+21,1.5862086415193e+22,1.107913169286e+22,7.2305508383146e+21,2.0190435637786e+21,3919201182.4891,973.28727296739,988.38802203917
1.3643123221515,1.6208526197534e+21,6.402617229005e+21,1.5969579083457e+22,1.1154125456873e+22,7.2795307623384e+21,2.0327476565465e+21,3945995325.8819,973.27850684053,987.84740991961
1.3794550720183,1.6317484480522e+21,6.4456969257296e+21,1.6076900361168e+22,1.122899784682e+22,7.3284318179633e+21,2.0464298076728e+21,3972750652.8883,973.26912290992,987.31171871761
1.3945978218852,1.6426377582051e+21,6.488752639148e+21,1.6184158966943e+22,1.130382494371e+22,7.3773036405058e+21,2.0601039482794e+21,3999493699.0046,973.25912069986,986.78104039309
1.409740571752,1.6535131700725e+21,6.5317552327288e+21,1.6291282304318e+22,1.1378556205748e+22,7.4261131886632e+21,2.0737608854612e+21,4026206202.5999,973.24850198135,986.25546014999
1.4248833216189,1.6643574034714e+21,6.5746364966486e+21,1.6398100294231e+22,1.1453073004456e+22,7.4747829755455e+21,2.0873789889554e+21,4052845820.4726,973.23727079451,985.7350474718
1.4400260714857,1.6751597188512e+21,6.6173540119291e+21,1.6504507215434e+22,1.1527301649378e+22,7.5232648608734e+21,2.1009448381045e+21,4079386113.2056,973.22543350847,985.21986150965
1.4551688213526,1.6859179615182e+21,6.6598991921074e+21,1.6610481797157e+22,1.160122742071e+22,7.571549215709e+21,2.1144557996926e+21,4105821510.147,973.21299886505,984.70995818568
1.4733401211928,1.6989655379812e+21,6.7114991532257e+21,1.6739010228097e+22,1.1690887242707e+22,7.6301100226929e+21,2.1308429990765e+21,4137881401.8187,973.19723817481,984.105986913
1.491511421033,1.7119573944759e+21,6.7628809765097e+21,1.6866991586426e+22,1.1780164035979e+22,7.6884209123311e+21,2.1471611165054e+21,4169807518.6933,973.18066312032,983.51002341436
1.5096827208732,1.7248910439805e+21,6.8140345705363e+21,1.6994400879383e+22,1.1869040563034e+22,7.7464704281641e+21,2.1634070494919e+21,4201593092.3954,973.16330299559,982.92215324435
1.5278540207135,1.7377460488301e+21,6.8648790745373e+21,1.7121036474813e+22,1.1957376259087e+22,7.804166603297e+21,2.1795551659593e+21,4233187733.1507,973.145191269,982.34243215136
1.5460253205537,1.7504902472317e+21,6.9152873344767e+21,1.7246581293774e+22,1.2044949911062e+22,7.8613648480043e+21,2.1955651173598e+21,4264512535.198,973.12636516461,981.77087231844
1.5641966203939,1.7630972161458e+21,6.9651547791452e+21,1.7370774671932e+22,1.2131579652953e+22,7.9179462963957e+21,2.2114037554192e+21,4295502554.3111,973.10686524256,981.20744703946
1.5823679202341,1.7755555960011e+21,7.0144362221998e+21,1.7493504193712e+22,1.2217187109727e+22,7.973859680207e+21,2.227056863007e+21,4326129501.3186,973.08673495142,980.65210522166
